Orthogroup	Amblyomma_aureolatum	Ixodes_scapularis	Ornithodoros_erraticus	Ornithodoros_moubata	Ornithodoros_rostratus	Rhipicephalus_bursa	Rhipicephalus_microplus	Rhipicephalus_sanguineus	Rhipicephalus_zambeziensis
OG0000000	sp|O00338|ST1C2_HUMAN, sp|O35400|ST2B1_MOUSE, sp|O35403|ST3A1_MOUSE, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|O75897|ST1C4_HUMAN, sp|P19217|ST1E1_BOVIN, sp|P22789|ST2A2_RAT, sp|P49888|ST1E1_HUMAN, sp|P49891|ST1E1_MOUSE, sp|P50225|ST1A1_HUMAN, sp|P50226|ST1A2_HUMAN, sp|P50234|SUHA_CAVPO, sp|P52842|ST2A1_MACFA, sp|P52843|ST2A1_MOUSE, sp|Q29YR5|ST2B1_RAT, sp|Q6IMI6|ST1C3_HUMAN, sp|Q95JD5|ST1B1_CANLF, sp|Q9D939|ST1C2_MOUSE, sp|Q9QWG7|ST1B1_MOUSE	EEC08975.1, JAA72119.1, JAB76061.1	XP_015925787.1, XP_022256007.1	EEC11351.1, XP_015914766.1, XP_015925787.1, XP_022256007.1, tr|B7P491|B7P491_IXOSC, tr|B7P4P2|B7P4P2_IXOSC, tr|B7PRA4|B7PRA4_IXOSC	sp|O00204|ST2B1_HUMAN, sp|O00338|ST1C2_HUMAN, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|O75897|ST1C4_HUMAN, sp|P49888|ST1E1_HUMAN, sp|P50237|ST1C1_RAT, sp|P52847|ST1B1_RAT, sp|Q9D939|ST1C2_MOUSE, sp|Q9QWG7|ST1B1_MOUSE, sp|Q9WUW8|ST1C2_RAT	tr|A0A023GI61|A0A023GI61_AMBTT, tr|A0A023GLU4|A0A023GLU4_AMBTT, tr|A0A090X7R2|A0A090X7R2_IXORI, tr|A0A090XE44|A0A090XE44_IXORI, tr|B7P491|B7P491_IXOSC, tr|B7PKW8|B7PKW8_IXOSC, tr|B7PWD5|B7PWD5_IXOSC, tr|G3MK53|G3MK53_AMBMU, tr|G3MPN1|G3MPN1_AMBMU, tr|L7LSJ9|L7LSJ9_RHIPC, tr|L7M503|L7M503_RHIPC, tr|V5GXA7|V5GXA7_IXORI, tr|V5HEC7|V5HEC7_IXORI, tr|V5IEL2|V5IEL2_IXORI, tr|V5IIV6|V5IIV6_IXORI		sp|O00338|ST1C2_HUMAN, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|Q3UZZ6|ST1D1_MOUSE, sp|Q9WUW9|S1C2A_RAT	sp|O35400|ST2B1_MOUSE, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|O75897|ST1C4_HUMAN, sp|P50226|ST1A2_HUMAN, sp|Q9D939|ST1C2_MOUSE, sp|Q9QWG7|ST1B1_MOUSE, sp|Q9WUW9|S1C2A_RAT
OG0000001	sp|B2RX12|MRP3_MOUSE, sp|O15438|MRP3_HUMAN, sp|O15439|MRP4_HUMAN, sp|O35379|MRP1_MOUSE, sp|O88563|MRP3_RAT, sp|P33527|MRP1_HUMAN, sp|P91660|L259_DROME, sp|Q09428|ABCC8_HUMAN, sp|Q10185|ABC2_SCHPO, sp|Q54LE6|ABCC5_DICDI, sp|Q8HXQ5|MRP1_BOVIN, sp|Q8LGU1|AB8C_ARATH, sp|Q92337|ABC1_SCHPO, sp|Q92887|MRP2_HUMAN, sp|Q9LZJ5|AB14C_ARATH, sp|Q9SKX0|AB13C_ARATH, sp|Q9TSP5|CFTR_PAPAN	EEC08526.1	OQR71267.1, OQR74305.1, XP_023243430.1, XP_028968591.1, tr|B7PUI6|B7PUI6_IXOSC, tr|B7Q4J2|B7Q4J2_IXOSC, tr|B7Q4L7|B7Q4L7_IXOSC, tr|B7QFI8|B7QFI8_IXOSC	XP_013789544.1, XP_023209833.1, tr|B7Q4L7|B7Q4L7_IXOSC, tr|B7QFI8|B7QFI8_IXOSC	sp|O15439|MRP4_HUMAN, sp|O35379|MRP1_MOUSE, sp|P32386|YBT1_YEAST, sp|P82451|ABCC9_RABIT, sp|Q54VJ0|ABCC2_DICDI, sp|Q5F364|MRP1_CHICK, sp|Q5T3U5|MRP7_HUMAN, sp|Q864R9|MRP1_MACFA, sp|Q8HXQ5|MRP1_BOVIN, sp|Q92887|MRP2_HUMAN	tr|A0A023FMD8|A0A023FMD8_AMBCJ, tr|A0A023FVK8|A0A023FVK8_AMBPA, tr|A0A023GM23|A0A023GM23_AMBTT, tr|A0A023GMC3|A0A023GMC3_AMBTT, tr|B7P546|B7P546_IXOSC, tr|B7PDH2|B7PDH2_IXOSC, tr|B7PJI1|B7PJI1_IXOSC, tr|B7PPK4|B7PPK4_IXOSC, tr|B7Q372|B7Q372_IXOSC, tr|B7Q4J3|B7Q4J3_IXOSC, tr|B7QAN3|B7QAN3_IXOSC, tr|L7LT71|L7LT71_RHIPC, tr|L7M973|L7M973_RHIPC, tr|L7M989|L7M989_RHIPC, tr|V5GET9|V5GET9_IXORI, tr|V5H5X9|V5H5X9_IXORI, tr|V5HJ98|V5HJ98_IXORI, tr|V5I282|V5I282_IXORI, tr|V5IEP8|V5IEP8_IXORI		sp|O35379|MRP1_MOUSE	sp|Q5F364|MRP1_CHICK, sp|Q5T3U5|MRP7_HUMAN, sp|Q63120|MRP2_RAT
OG0000002	sp|O62761|CHLE_PANTT, sp|P04058|ACES_TETCF, sp|P06276|CHLE_HUMAN, sp|P22303|ACES_HUMAN, sp|P23795|ACES_BOVIN, sp|P23953|EST1C_MOUSE, sp|P36196|ACES_CHICK, sp|Q04791|SASB_ANAPL, sp|Q27677|ACES_LEPDE, sp|Q869C3|ACES_ANOGA, sp|Q8BK48|EST2E_MOUSE, sp|Q92035|ACES_BUNFA	EEC12822.1, JAB69653.1	OQR71049.1	XP_003743644.1, XP_022701442.1	sp|O62763|ACES_FELCA, sp|P06276|CHLE_HUMAN, sp|Q04457|EST1_CAEEL, sp|Q27677|ACES_LEPDE, sp|W4VSJ0|ACES_TRILK	tr|A0A023GE54|A0A023GE54_AMBTT, tr|A0A023GHC7|A0A023GHC7_AMBTT, tr|A0A023GIN0|A0A023GIN0_AMBTT, tr|B7P3Z1|B7P3Z1_IXOSC, tr|B7PPK5|B7PPK5_IXOSC, tr|B7PR60|B7PR60_IXOSC, tr|B7PWE2|B7PWE2_IXOSC, tr|B7PWE5|B7PWE5_IXOSC, tr|B7PXA2|B7PXA2_IXOSC, tr|B7PY92|B7PY92_IXOSC, tr|B7PY99|B7PY99_IXOSC, tr|B7PYA0|B7PYA0_IXOSC, tr|B7QBS6|B7QBS6_IXOSC, tr|B7QEQ3|B7QEQ3_IXOSC, tr|B7QEQ9|B7QEQ9_IXOSC, tr|B7QL24|B7QL24_IXOSC, tr|E3VRB9|E3VRB9_RHIMP, tr|G3MGI8|G3MGI8_AMBMU, tr|G3MSH9|G3MSH9_AMBMU, tr|L7M115|L7M115_RHIPC, tr|L7M799|L7M799_RHIPC, tr|L7MFU7|L7MFU7_RHIPC, tr|M1U2A0|M1U2A0_RHIMP, tr|O45210|O45210_RHIMP, tr|O61864|O61864_RHIMP, tr|O61987|O61987_RHIDE, tr|Q9NFK1|Q9NFK1_RHIMP, tr|Q9U6M8|Q9U6M8_RHIMP, tr|V5HC40|V5HC40_IXORI, tr|V5HLS8|V5HLS8_IXORI		sp|O62763|ACES_FELCA, sp|Q64419|EST1_MESAU	sp|O62761|CHLE_PANTT, sp|P22303|ACES_HUMAN, sp|P23953|EST1C_MOUSE, sp|Q64419|EST1_MESAU, sp|Q869C3|ACES_ANOGA, sp|Q92035|ACES_BUNFA, sp|W4VSJ0|ACES_TRILK
OG0000003	sp|A6QR00|ZN526_BOVIN, sp|Q9H116|GZF1_HUMAN		XP_022195534.1, XP_028138037.1, tr|B7P1R3|B7P1R3_IXOSC, tr|B7P8G9|B7P8G9_IXOSC, tr|B7P8H5|B7P8H5_IXOSC, tr|B7P8H7|B7P8H7_IXOSC, tr|B7PDM0|B7PDM0_IXOSC, tr|B7PGN2|B7PGN2_IXOSC, tr|B7PYS7|B7PYS7_IXOSC, tr|B7PYS9|B7PYS9_IXOSC, tr|B7QDM3|B7QDM3_IXOSC	GBP34315.1, RXG68537.1, XP_015929713.1, XP_016959265.1, XP_022651961.1, XP_023219869.1, XP_027238540.1, XP_028968400.1, tr|B7P1R7|B7P1R7_IXOSC, tr|B7P6U8|B7P6U8_IXOSC, tr|B7P8G9|B7P8G9_IXOSC, tr|B7P8H5|B7P8H5_IXOSC, tr|B7P8H7|B7P8H7_IXOSC, tr|B7PDM0|B7PDM0_IXOSC, tr|B7PYS7|B7PYS7_IXOSC, tr|B7Q3S6|B7Q3S6_IXOSC, tr|B7Q4A0|B7Q4A0_IXOSC, tr|B7Q9L6|B7Q9L6_IXOSC, tr|B7QAR0|B7QAR0_IXOSC, tr|B7QDM1|B7QDM1_IXOSC	sp|Q86UQ0|ZN589_HUMAN	tr|A0A090XD24|A0A090XD24_IXORI, tr|B7P0V5|B7P0V5_IXOSC, tr|B7P1R9|B7P1R9_IXOSC, tr|B7P7I2|B7P7I2_IXOSC, tr|B7P8H4|B7P8H4_IXOSC, tr|B7P8H5|B7P8H5_IXOSC, tr|B7PDM0|B7PDM0_IXOSC, tr|B7PX14|B7PX14_IXOSC, tr|B7PYS9|B7PYS9_IXOSC, tr|B7Q3S6|B7Q3S6_IXOSC, tr|B7Q923|B7Q923_IXOSC, tr|B7QDM0|B7QDM0_IXOSC, tr|B7QDM1|B7QDM1_IXOSC, tr|B7QDM3|B7QDM3_IXOSC, tr|L7MCK8|L7MCK8_RHIPC, tr|L7MD79|L7MD79_RHIPC, tr|L7MFE3|L7MFE3_RHIPC, tr|L7MFF3|L7MFF3_RHIPC, tr|L7MIV9|L7MIV9_RHIPC, tr|V5GL24|V5GL24_IXORI, tr|V5HMZ3|V5HMZ3_IXORI, tr|V5HSF4|V5HSF4_IXORI, tr|V5HW30|V5HW30_IXORI, tr|V5I374|V5I374_IXORI, tr|V5IFZ5|V5IFZ5_IXORI, tr|V5IIF4|V5IIF4_IXORI			
OG0000004	sp|O08800|SPB8_MOUSE, sp|P29508|SPB3_HUMAN, sp|P48594|SPB4_HUMAN, sp|P50452|SPB8_HUMAN, sp|P80229|ILEU_PIG, sp|Q1JPB0|ILEU_BOVIN, sp|Q4G075|ILEUA_RAT, sp|Q5I0S8|ILEU_XENTR, sp|Q5SV42|ILEUC_MOUSE, sp|Q64118|A1AT_MERUN, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE, sp|Q9TSZ0|ANGT_CALJA	AAK61376.1	BAP59746.1, BAP59747.1, CAB55818.2	AHC98662.1, BAP59747.1, CAB55818.2	sp|P29508|SPB3_HUMAN, sp|P30740|ILEU_HUMAN, sp|P80229|ILEU_PIG, sp|Q1JPB0|ILEU_BOVIN, sp|Q4R3G2|SPB6_MACFA, sp|Q5I0S8|ILEU_XENTR, sp|Q5JJ64|Y1782_THEKO, sp|Q60854|SPB6_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|A0A023FKT4|A0A023FKT4_AMBCJ, tr|A0A023GAT4|A0A023GAT4_AMBTT, tr|A0A023GK55|A0A023GK55_AMBTT, tr|G0WS04|G0WS04_RHIMP, tr|G3MGC3|G3MGC3_AMBMU, tr|G3MPA2|G3MPA2_AMBMU, tr|K7X6U2|K7X6U2_9ACAR, tr|L7LQN0|L7LQN0_RHIPC, tr|L7LRZ2|L7LRZ2_RHIPC, tr|V9VKZ6|V9VKZ6_RHIMP, tr|V9VLM1|V9VLM1_RHIMP, tr|V9VLN0|V9VLN0_RHIMP, tr|V9VMN2|V9VMN2_RHIMP, tr|V9VMP1|V9VMP1_RHIMP		sp|P48594|SPB4_HUMAN, sp|Q1JPB0|ILEU_BOVIN, sp|Q5SV42|ILEUC_MOUSE, sp|Q9D154|ILEUA_MOUSE	sp|B4USX2|SPB10_OTOGA, sp|O35684|NEUS_MOUSE, sp|P29508|SPB3_HUMAN, sp|P48594|SPB4_HUMAN, sp|P50453|SPB9_HUMAN, sp|Q5BIR5|SPB8_BOVIN, sp|Q5I0S8|ILEU_XENTR, sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE
OG0000005	sp|P83609|BMTIA_RHIMP, sp|P84875|PCPI_SABMA, sp|P86733|KCP_HALAI, sp|Q6T269|VKT3_BITGA, sp|Q8WPI2|BOOH2_RHIMP, sp|Q8WPI3|BOOG2_RHIMP	EEC16686.1	ACF35510.1, ANA67892.1, BAH02683.1, GBP58337.1, RWS20793.1, XP_013781772.2, XP_022249736.1, XP_022254658.1, tr|B7PG23|B7PG23_IXOSC	ADV40370.1, KFM65460.1, PRD20074.1, PRD26467.1, RWS20793.1, XP_013773410.2, XP_013781772.2, XP_015929125.1, XP_022249736.1, XP_022256441.1, XP_022256442.1, XP_023714180.1, tr|B7PG23|B7PG23_IXOSC	sp|P83609|BMTIA_RHIMP, sp|P84875|PCPI_SABMA, sp|P86733|KCP_HALAI, sp|Q8WPI2|BOOH2_RHIMP, sp|Q8WPI3|BOOG2_RHIMP, sp|W4VSH9|VKT1_TRILK	sp|Q8WPI3|BOOG2_RHIMP, tr|A0A023FMR9|A0A023FMR9_AMBCJ, tr|A0A023FPG9|A0A023FPG9_AMBCJ, tr|A0A023G9X1|A0A023G9X1_AMBTT, tr|A0A023GCE3|A0A023GCE3_AMBTT, tr|A0A034WTW0|A0A034WTW0_RHIMP, tr|B7PBM5|B7PBM5_IXOSC, tr|B7PG23|B7PG23_IXOSC, tr|B7Q9M8|B7Q9M8_IXOSC, tr|B7QCW4|B7QCW4_IXOSC, tr|L7LQE7|L7LQE7_RHIPC, tr|V5IEZ5|V5IEZ5_IXORI		sp|P83609|BMTIA_RHIMP, sp|Q6T269|VKT3_BITGA, sp|W4VSH9|VKT1_TRILK	sp|P83609|BMTIA_RHIMP, sp|P84875|PCPI_SABMA, sp|P86733|KCP_HALAI, sp|Q6T269|VKT3_BITGA, sp|Q8WPI2|BOOH2_RHIMP, sp|Q8WPI3|BOOG2_RHIMP, sp|W4VSH9|VKT1_TRILK
OG0000006		AAM93652.1, AAP22067.1, AAT92201.1, EEC12990.1, EEC19963.1, EEC19964.1, JAA68328.1, JAA68346.1, JAA68349.1, JAA73295.1	AAM93652.1, AAM93653.1, AAP22067.1, AAT92201.1, AAZ39659.1, ABI52747.1, ACB70344.1, AIE44747.1, AIE44748.1, CAO00625.1, CAO00626.1, tr|B7Q2B8|B7Q2B8_IXOSC, tr|B7Q4I3|B7Q4I3_IXOSC, tr|B7QM91|B7QM91_IXOSC, tr|B7QM92|B7QM92_IXOSC	AAM93652.1, AAM93653.1, AAT92201.1, AAZ39659.1, ABI52747.1, ABI52755.1, ACB70344.1, AIE44747.1, AIE44748.1, CAO00625.1, CAO00626.1, tr|B7Q2B8|B7Q2B8_IXOSC, tr|B7Q4I3|B7Q4I3_IXOSC, tr|B7QM91|B7QM91_IXOSC, tr|B7QM92|B7QM92_IXOSC		tr|A0A023FF62|A0A023FF62_AMBCJ, tr|A0A023FYU5|A0A023FYU5_AMBPA, tr|A0A023FYW1|A0A023FYW1_AMBPA, tr|A0A023G3J9|A0A023G3J9_AMBTT, tr|A0A023G8I5|A0A023G8I5_AMBTT, tr|A0A023G8V6|A0A023G8V6_AMBTT, tr|G3MK34|G3MK34_AMBMU, tr|L7LQF2|L7LQF2_RHIPC, tr|L7LQH4|L7LQH4_RHIPC, tr|L7LRD4|L7LRD4_RHIPC, tr|L7LRN0|L7LRN0_RHIPC, tr|L7LTA3|L7LTA3_RHIPC, tr|L7LTL6|L7LTL6_RHIPC, tr|L7LTR4|L7LTR4_RHIPC, tr|L7MGA1|L7MGA1_RHIPC, tr|L7MM07|L7MM07_RHIPC, tr|Q45R49|Q45R49_RHIMP			
OG0000007	sp|A5UBQ1|DNAK_HAEIE, sp|C4K3I6|DNAK_HAMD5, sp|P20029|BIP_MOUSE, sp|P41827|HSP74_ANOAL, sp|P49118|BIP_SOLLC, sp|Q00043|HSP70_AJECA, sp|Q5NFG7|DNAK_FRATT, sp|Q9U639|HSP7D_MANSE	AEO32791.1, AEO33913.1, EEC05056.1, JAA67812.1, JAA70344.1	APO36713.1, APO36715.1, EEC05056.1, XP_004522114.1, XP_022672517.1, XP_023224332.1, tr|B7PAR6|B7PAR6_IXOSC, tr|B7PEN4|B7PEN4_IXOSC	ABG47443.1, ABQ12813.1, AFJ22321.1, AIS39468.1, APO36713.1, APO36715.1, DAA34064.1, EEC05056.1, KFM57777.1, XP_015912981.1, XP_022646499.1, XP_023245404.1, tr|B7P8Q5|B7P8Q5_IXOSC, tr|B7PAR6|B7PAR6_IXOSC, tr|B7QL71|B7QL71_IXOSC	sp|P29844|BIP_DROME, sp|Q5R511|GRP75_PONAB, sp|Q9U639|HSP7D_MANSE	tr|A0A023FQ54|A0A023FQ54_AMBCJ, tr|A0A023GNY6|A0A023GNY6_AMBTT, tr|G3MF27|G3MF27_AMBMU, tr|L7LX08|L7LX08_RHIPC, tr|L7MMF8|L7MMF8_RHIPC	tr|B7PAR6|B7PAR6_IXOSC	sp|O97125|HSP68_DROME, sp|Q5R511|GRP75_PONAB, sp|Q90593|BIP_CHICK, sp|Q9U639|HSP7D_MANSE	sp|O97125|HSP68_DROME, sp|P41826|HSP72_ANOAL, sp|P41827|HSP74_ANOAL, sp|Q5R511|GRP75_PONAB, sp|Q90593|BIP_CHICK, sp|Q9U639|HSP7D_MANSE
OG0000008	sp|Q03276|PO11_POPJA		PRD25085.1, XP_023209837.1, XP_023220583.1, XP_023227362.1, XP_023234990.1, XP_026684596.1	KFM61799.1, KFM75280.1, KXJ70294.1, XP_015436995.1, XP_015924323.1, XP_015925080.1, XP_017304322.2, XP_018915094.1, XP_021001840.1, XP_022163586.1, XP_022164213.1, XP_023015979.1, XP_023028247.1, XP_023209837.1, XP_023210701.1, XP_023211523.1, XP_023212286.1, XP_023214274.1, XP_023216832.1, XP_023218788.1, XP_023218970.1, XP_023227365.1, XP_023229260.1, XP_023230155.1, XP_023231122.1, XP_023231150.1, XP_023233781.1, XP_023234971.1, XP_023234990.1, XP_023235538.1, XP_023241135.1, XP_023243207.1, XP_023244783.1, XP_023244864.1, XP_024083903.1, XP_024086357.1, XP_024215182.1, XP_024219290.1, XP_025408992.1, XP_025420289.1, XP_025421529.1, XP_025423827.1, XP_025425637.1, XP_026689065.1, XP_028130658.1, XP_029054876.1		tr|A0A090X9N6|A0A090X9N6_IXORI			
OG0000009	sp|P0CQ76|DBP2_CRYNJ, sp|Q501J6|DDX17_MOUSE, sp|Q61656|DDX5_MOUSE, sp|Q754U8|PRP5_ASHGO, sp|Q7SH33|PRP5_NEUCR, sp|Q92841|DDX17_HUMAN		EFX78251.1, ENN72527.1, KYQ51064.1, PRD29349.1, XP_002431309.1, XP_004924160.1, XP_013787310.1, XP_014234808.1, XP_014473778.1, XP_023226400.1, XP_026322095.1, XP_027222602.1, tr|B7PA01|B7PA01_IXOSC, tr|B7PA03|B7PA03_IXOSC, tr|B7PYD1|B7PYD1_IXOSC	ALI93851.1, KFM66710.1, KYM77832.1, XP_003745440.1, XP_013787310.1, XP_022243415.1, XP_023226400.1, tr|B7PA01|B7PA01_IXOSC, tr|B7PA03|B7PA03_IXOSC, tr|B7PYD1|B7PYD1_IXOSC	sp|P0CQ98|PRP5_CRYNJ, sp|Q5R4I9|DDX5_PONAB, sp|Q92841|DDX17_HUMAN	tr|A0A023FLZ1|A0A023FLZ1_AMBCJ, tr|A0A023G7V7|A0A023G7V7_AMBTT, tr|B7P8J4|B7P8J4_IXOSC, tr|L7LWK5|L7LWK5_RHIPC, tr|L7M9P5|L7M9P5_RHIPC, tr|V5IK42|V5IK42_IXORI		sp|P0CQ76|DBP2_CRYNJ, sp|Q4PHU9|DBP2_USTMA, sp|Q501J6|DDX17_MOUSE, sp|Q61656|DDX5_MOUSE, sp|Q92841|DDX17_HUMAN	sp|A1C6C4|DBP2_ASPCL, sp|A5DL80|DBP2_PICGU, sp|P17844|DDX5_HUMAN, sp|Q4R6M5|DDX5_MACFA, sp|Q501J6|DDX17_MOUSE, sp|Q61656|DDX5_MOUSE, sp|Q92841|DDX17_HUMAN
