Uniprot ID,Cluster ID
A0A023FB24,UniRef90_A0A023FB24
A0A023FB38,UniRef90_A0A023FB38
A0A023FB62,UniRef90_A0A023FB62
A0A023FB77,UniRef90_A0A023FB77
A0A023FB85,UniRef90_A0A023FB85
A0A023FB87,UniRef90_A0A023FB87
A0A023FBA5,UniRef90_A0A023FBA5
A0A023FBC0,UniRef90_A0A023FBC0
A0A023FBC6,UniRef90_A0A023FBC6
A0A023FBD3,UniRef90_A0A023FBD3
A0A023FBE0,UniRef90_A0A023FBE0
A0A023FBE7,UniRef90_A0A023FBE7
A0A023FBG4,UniRef90_A0A023FBG4
A0A023FBH5,UniRef90_A0A023FB24
A0A023FBH8,UniRef90_A0A023FBH8
A0A023FBJ2,UniRef90_A0A023FBJ2
A0A023FBJ7,UniRef90_A0A023FBJ7
A0A023FBK0,UniRef90_A0A023FBK0
A0A023FBL0,UniRef90_A0A023FBL0
A0A023FBN3,UniRef90_A0A023FBN3
A0A023FBP5,UniRef90_A0A023FBP5
A0A023FBR2,UniRef90_A0A023FBR2
A0A023FBS5,UniRef90_A0A023FBS5
A0A023FBS9,UniRef90_A0A023FBS9
A0A023FBT1,UniRef90_A0A023FBT1
A0A023FBT6,UniRef90_A0A023FBT6
A0A023FBT9,UniRef90_A0A023FBT9
A0A023FBV2,UniRef90_A0A023FBV2
A0A023FBW4,UniRef90_A0A023FBW4
A0A023FBW6,UniRef90_A0A023FBW6
A0A023FBX4,UniRef90_A0A023FBX4
A0A023FBX7,UniRef90_A0A023FBX7
A0A023FBY6,UniRef90_A0A023FBY6
A0A023FBZ2,UniRef90_A0A023FBZ2
A0A023FBZ4,UniRef90_A0A023FBZ4
A0A023FC05,UniRef90_A0A023FC05
A0A023FC08,UniRef90_A0A023FC08
A0A023FC12,UniRef90_A0A023FC12
A0A023FC19,UniRef90_A0A023FC19
A0A023FC20,UniRef90_A0A023FC20
A0A023FC24,UniRef90_A0A023FC24
A0A023FC28,UniRef90_A0A023FC28
A0A023FC33,UniRef90_A0A023FC33
A0A023FC37,UniRef90_A0A023FC37
A0A023FC39,UniRef90_A0A023FC39
A0A023FC41,UniRef90_A0A023FC41
A0A023FC45,UniRef90_A0A023FC45
A0A023FC60,UniRef90_A0A023FC60
A0A023FC61,UniRef90_A0A023FC61
A0A023FC64,UniRef90_A0A023FC64
A0A023FC65,UniRef90_A0A023FC65
A0A023FC69,UniRef90_A0A023FC69
A0A023FC70,UniRef90_A0A023FC70
A0A023FC76,UniRef90_A0A023FE04
A0A023FC77,UniRef90_A0A023FC77
A0A023FC79,UniRef90_A0A023FC79
A0A023FC80,UniRef90_A0A023FC80
A0A023FC81,UniRef90_A0A023FC81
A0A023FC82,UniRef90_A0A023FC82
A0A023FC90,UniRef90_A0A023FC90
A0A023FC93,UniRef90_A0A023FC93
A0A023FC96,UniRef90_A0A023FC96
A0A023FC99,UniRef90_A0A023G7Z9
A0A023FCA0,UniRef90_A0A023FCA0
A0A023FCA2,UniRef90_A0A023FCA2
A0A023FCA4,UniRef90_A0A023FCA4
A0A023FCA6,UniRef90_A0A023FCA6
A0A023FCA9,UniRef90_A0A023FCA9
A0A023FCB4,UniRef90_A0A023FCB4
A0A023FCB6,UniRef90_A0A023FCB6
A0A023FCB7,UniRef90_A0A023FCB7
A0A023FCB9,UniRef90_A0A023FCB9
A0A023FCC0,UniRef90_A0A023FCC0
A0A023FCC3,UniRef90_A0A023FCC3
A0A023FCC7,UniRef90_A0A023FCC7
A0A023FCC9,UniRef90_A0A023FCC9
A0A023FCD1,UniRef90_A0A023FCD1
A0A023FCD7,UniRef90_A0A023FCD7
A0A023FCE4,UniRef90_A0A023FCE4
A0A023FCE5,UniRef90_A0A023FCE5
A0A023FCF8,UniRef90_A0A023FCF8
A0A023FCG1,UniRef90_A0A023FCG1
A0A023FCH0,UniRef90_A0A023FCH0
A0A023FCI1,UniRef90_A0A023FCI1
A0A023FCI8,UniRef90_A0A023FCI8
A0A023FCK4,UniRef90_A0A023FCK4
A0A023FCL6,UniRef90_A0A023FCL6
A0A023FCL8,UniRef90_A0A023FCL8
A0A023FCM1,UniRef90_A0A023FCM1
A0A023FCN0,UniRef90_A0A023FCN0
A0A023FCN1,UniRef90_A0A023FCN1
A0A023FCN6,UniRef90_A0A023FCN6
A0A023FCQ9,UniRef90_A0A023FCQ9
A0A023FCR4,UniRef90_A0A023FCR4
A0A023FCR8,UniRef90_A0A023FCR8
A0A023FCS8,UniRef90_A0A023FCS8
A0A023FCT5,UniRef90_A0A023FCT5
A0A023FCV0,UniRef90_A0A023FCV0
A0A023FCV5,UniRef90_A0A023FCV5
A0A023FCV8,UniRef90_A0A023FCV8
A0A023FCW3,UniRef90_A0A023FRX0
A0A023FD00,UniRef90_A0A023FD00
A0A023FD04,UniRef90_A0A023FD04
A0A023FD08,UniRef90_A0A023FD08
A0A023FD11,UniRef90_A0A023FD11
A0A023FD14,UniRef90_A0A023FD14
A0A023FD23,UniRef90_A0A023FC70
A0A023FD43,UniRef90_A0A023FD43
A0A023FD50,UniRef90_A0A023FD50
A0A023FD57,UniRef90_A0A023FD57
A0A023FD67,UniRef90_A0A023FD67
A0A023FD73,UniRef90_A0A023FD73
A0A023FD75,UniRef90_A0A023FD75
A0A023FD82,UniRef90_A0A023FD82
A0A023FD84,UniRef90_A0A023FD84
A0A023FD85,UniRef90_A0A023FD85
A0A023FD87,UniRef90_A0A023FD87
A0A023FD90,UniRef90_A0A023FD90
A0A023FDA7,UniRef90_A0A023FDA7
A0A023FDB2,UniRef90_A0A023FDB2
A0A023FDB5,UniRef90_A0A023FDB5
A0A023FDC4,UniRef90_A0A023FDC4
A0A023FDC5,UniRef90_A0A023FDC5
A0A023FDD8,UniRef90_A0A023FDD8
A0A023FDD9,UniRef90_A0A023FDD9
A0A023FDE0,UniRef90_A0A023FT29
A0A023FDE7,UniRef90_A0A023FDE7
A0A023FDF1,UniRef90_A0A023FDF1
A0A023FDF8,UniRef90_A0A023FDF8
A0A023FDG8,UniRef90_A0A023FDG8
A0A023FDH9,UniRef90_A0A023FSP1
A0A023FDI0,UniRef90_A0A023FDI0
A0A023FDI1,UniRef90_A0A023FDI1
A0A023FDI2,UniRef90_A0A023FDI2
A0A023FDI4,UniRef90_A0A023FDI4
A0A023FDI5,UniRef90_A0A023FDI5
A0A023FDJ1,UniRef90_A0A023FDJ1
A0A023FDJ4,UniRef90_A0A023FDJ4
A0A023FDK3,UniRef90_A0A023FDK3
A0A023FDK8,UniRef90_A0A023FDK8
