Orthogroup	Amblyomma_aureolatum	Rhipicephalus_bursa	Rhipicephalus_microplus	Rhipicephalus_sanguineus	Rhipicephalus_zambeziensis
OG0000000		tr|A0A023FZM3|A0A023FZM3_AMBPA, tr|A0A023G6C4|A0A023G6C4_AMBTT, tr|A0A023G6F7|A0A023G6F7_AMBTT, tr|A0A023G6R9|A0A023G6R9_AMBTT, tr|A0A023G7T4|A0A023G7T4_AMBTT, tr|A0A023G7W2|A0A023G7W2_AMBTT, tr|A0A023G8V9|A0A023G8V9_AMBTT, tr|A0A023G8W0|A0A023G8W0_AMBTT, tr|A0A023G8W3|A0A023G8W3_AMBTT, tr|A0A023G8Z6|A0A023G8Z6_AMBTT, tr|A0A023GBC9|A0A023GBC9_AMBTT, tr|A0A023GC37|A0A023GC37_AMBTT, tr|A0A090X846|A0A090X846_IXORI, tr|A0A090XBN9|A0A090XBN9_IXORI, tr|A0A090XEA3|A0A090XEA3_IXORI, tr|A0A090XEA5|A0A090XEA5_IXORI, tr|A0A0B4PLV9|A0A0B4PLV9_RHIMP, tr|B7P798|B7P798_IXOSC, tr|B7Q6P3|B7Q6P3_IXOSC, tr|B7Q7Y3|B7Q7Y3_IXOSC, tr|B7QAP8|B7QAP8_IXOSC, tr|B7QJX9|B7QJX9_IXOSC, tr|B7QMK6|B7QMK6_IXOSC, tr|G3MG21|G3MG21_AMBMU, tr|G3MHM0|G3MHM0_AMBMU, tr|G3MRE6|G3MRE6_AMBMU, tr|G3MT63|G3MT63_AMBMU, tr|L7LRB7|L7LRB7_RHIPC, tr|V5GX59|V5GX59_IXORI, tr|V5H271|V5H271_IXORI, tr|V5HE04|V5HE04_IXORI, tr|V5HGZ3|V5HGZ3_IXORI, tr|V5HJD6|V5HJD6_IXORI, tr|V5HPC1|V5HPC1_IXORI, tr|V5HPS5|V5HPS5_IXORI, tr|V5HQE9|V5HQE9_IXORI, tr|V5HQY5|V5HQY5_IXORI, tr|V5HTV7|V5HTV7_IXORI, tr|V5HZ82|V5HZ82_IXORI, tr|V5HZD6|V5HZD6_IXORI, tr|V5HZF4|V5HZF4_IXORI, tr|V5HZX3|V5HZX3_IXORI, tr|V5I2S3|V5I2S3_IXORI, tr|V5I3Y1|V5I3Y1_IXORI, tr|V5I3Z0|V5I3Z0_IXORI, tr|V5I4I5|V5I4I5_IXORI, tr|V5I4R5|V5I4R5_IXORI, tr|V5IF75|V5IF75_IXORI, tr|V5IG30|V5IG30_IXORI, tr|V5II27|V5II27_IXORI, tr|V5IIB4|V5IIB4_IXORI, tr|V5IJB9|V5IJB9_IXORI, tr|V5IK45|V5IK45_IXORI			
OG0000001		tr|A0A023FIQ1|A0A023FIQ1_AMBCJ, tr|A0A023FSG2|A0A023FSG2_AMBPA, tr|A0A023G1K8|A0A023G1K8_AMBPA, tr|A0A023G612|A0A023G612_AMBTT, tr|A0A090X7Q1|A0A090X7Q1_IXORI, tr|A0A090X7Q9|A0A090X7Q9_IXORI, tr|A0A090XAD2|A0A090XAD2_IXORI, tr|A0A090XB39|A0A090XB39_IXORI, tr|A0A090XCL0|A0A090XCL0_IXORI, tr|B7P1X0|B7P1X0_IXOSC, tr|G3MPG7|G3MPG7_AMBMU, tr|L7LRK9|L7LRK9_RHIPC, tr|L7LRX1|L7LRX1_RHIPC, tr|L7LS99|L7LS99_RHIPC, tr|L7LSY9|L7LSY9_RHIPC, tr|L7LT92|L7LT92_RHIPC, tr|L7LU58|L7LU58_RHIPC, tr|L7LWK8|L7LWK8_RHIPC, tr|L7LWP2|L7LWP2_RHIPC, tr|L7LWQ8|L7LWQ8_RHIPC, tr|L7LX14|L7LX14_RHIPC, tr|L7LXE3|L7LXE3_RHIPC, tr|L7LZC9|L7LZC9_RHIPC, tr|L7M053|L7M053_RHIPC, tr|L7M065|L7M065_RHIPC, tr|L7M1L9|L7M1L9_RHIPC, tr|L7M241|L7M241_RHIPC, tr|L7M2U2|L7M2U2_RHIPC, tr|L7M3S6|L7M3S6_RHIPC, tr|L7M9G4|L7M9G4_RHIPC, tr|L7MA83|L7MA83_RHIPC, tr|L7MAN2|L7MAN2_RHIPC, tr|L7MBI8|L7MBI8_RHIPC, tr|L7MBJ5|L7MBJ5_RHIPC, tr|L7MBS0|L7MBS0_RHIPC, tr|L7MBT4|L7MBT4_RHIPC, tr|L7MC25|L7MC25_RHIPC, tr|L7MC56|L7MC56_RHIPC, tr|L7MCR7|L7MCR7_RHIPC, tr|L7MCU6|L7MCU6_RHIPC, tr|L7MD35|L7MD35_RHIPC, tr|L7MDB5|L7MDB5_RHIPC, tr|L7MDF3|L7MDF3_RHIPC, tr|L7MEM6|L7MEM6_RHIPC, tr|L7MHL5|L7MHL5_RHIPC, tr|L7MIX4|L7MIX4_RHIPC, tr|L7MIY8|L7MIY8_RHIPC, tr|L7MJ26|L7MJ26_RHIPC, tr|L7MJ46|L7MJ46_RHIPC, tr|L7MJF0|L7MJF0_RHIPC, tr|L7MKL6|L7MKL6_RHIPC, tr|L7MMP6|L7MMP6_RHIPC			
OG0000002		tr|A0A023FNN2|A0A023FNN2_AMBCJ, tr|A0A023FQB1|A0A023FQB1_AMBCJ, tr|A0A023G4F6|A0A023G4F6_AMBTT, tr|A0A023G5P5|A0A023G5P5_AMBTT, tr|A0A023GA63|A0A023GA63_AMBTT, tr|A0A023GB06|A0A023GB06_AMBTT, tr|A0A023GC83|A0A023GC83_AMBTT, tr|A0A023GMX3|A0A023GMX3_AMBTT, tr|A0A090X912|A0A090X912_IXORI, tr|A0A090XEL3|A0A090XEL3_IXORI, tr|B7P5T5|B7P5T5_IXOSC, tr|B7P5T7|B7P5T7_IXOSC, tr|B7PB54|B7PB54_IXOSC, tr|B7PDQ9|B7PDQ9_IXOSC, tr|B7PI14|B7PI14_IXOSC, tr|B7PKR9|B7PKR9_IXOSC, tr|B7PQQ6|B7PQQ6_IXOSC, tr|B7PTJ3|B7PTJ3_IXOSC, tr|B7PVT2|B7PVT2_IXOSC, tr|B7PZ45|B7PZ45_IXOSC, tr|B7Q7S8|B7Q7S8_IXOSC, tr|B7Q7S9|B7Q7S9_IXOSC, tr|B7Q852|B7Q852_IXOSC, tr|B7QEA9|B7QEA9_IXOSC, tr|B7QGV0|B7QGV0_IXOSC, tr|B7QIH0|B7QIH0_IXOSC, tr|B7QJF4|B7QJF4_IXOSC, tr|B7QKC9|B7QKC9_IXOSC, tr|F0J8U5|F0J8U5_AMBVA, tr|G3MF93|G3MF93_AMBMU, tr|G3MFZ2|G3MFZ2_AMBMU, tr|G3MI97|G3MI97_AMBMU, tr|G3MJK6|G3MJK6_AMBMU, tr|G3MKK8|G3MKK8_AMBMU, tr|L7LSZ7|L7LSZ7_RHIPC, tr|L7LYE2|L7LYE2_RHIPC, tr|L7LYX1|L7LYX1_RHIPC, tr|L7LYZ8|L7LYZ8_RHIPC, tr|L7LZC2|L7LZC2_RHIPC, tr|L7M631|L7M631_RHIPC, tr|L7MA91|L7MA91_RHIPC, tr|L7MG14|L7MG14_RHIPC, tr|V5GEF9|V5GEF9_IXORI, tr|V5GSH3|V5GSH3_IXORI, tr|V5GXX9|V5GXX9_IXORI, tr|V5HX55|V5HX55_IXORI, tr|V5ICR1|V5ICR1_IXORI, tr|V5IF33|V5IF33_IXORI			
OG0000003		tr|A0A023FN42|A0A023FN42_AMBCJ, tr|A0A023G8J5|A0A023G8J5_AMBTT, tr|A0A090X7M8|A0A090X7M8_IXORI, tr|A0A090X9R0|A0A090X9R0_IXORI, tr|A0A090XAU1|A0A090XAU1_IXORI, tr|A0A090XAU4|A0A090XAU4_IXORI, tr|A0A090XAW0|A0A090XAW0_IXORI, tr|A0A090XAY4|A0A090XAY4_IXORI, tr|A0A090XCJ2|A0A090XCJ2_IXORI, tr|A0A090XF61|A0A090XF61_IXORI, tr|B7PG03|B7PG03_IXOSC, tr|L7LR37|L7LR37_RHIPC, tr|L7LSB1|L7LSB1_RHIPC, tr|L7LSU8|L7LSU8_RHIPC, tr|L7LWA7|L7LWA7_RHIPC, tr|L7LYA9|L7LYA9_RHIPC, tr|L7LYN3|L7LYN3_RHIPC, tr|L7MC04|L7MC04_RHIPC, tr|L7MDE4|L7MDE4_RHIPC, tr|L7MDQ6|L7MDQ6_RHIPC, tr|L7MDS1|L7MDS1_RHIPC, tr|L7ME77|L7ME77_RHIPC, tr|L7MFC3|L7MFC3_RHIPC, tr|L7MGX9|L7MGX9_RHIPC, tr|L7MHQ8|L7MHQ8_RHIPC, tr|L7MIJ7|L7MIJ7_RHIPC, tr|L7MIT8|L7MIT8_RHIPC, tr|V5GF41|V5GF41_IXORI, tr|V5H6I0|V5H6I0_IXORI, tr|V5H6P3|V5H6P3_IXORI, tr|V5H7A6|V5H7A6_IXORI, tr|V5H7J9|V5H7J9_IXORI, tr|V5HDA1|V5HDA1_IXORI, tr|V5HE79|V5HE79_IXORI, tr|V5HF59|V5HF59_IXORI, tr|V5HGC2|V5HGC2_IXORI, tr|V5HJH8|V5HJH8_IXORI, tr|V5HRD4|V5HRD4_IXORI, tr|V5HS43|V5HS43_IXORI, tr|V5HX13|V5HX13_IXORI, tr|V5HX58|V5HX58_IXORI, tr|V5I2L9|V5I2L9_IXORI, tr|V5IC65|V5IC65_IXORI, tr|V5IE28|V5IE28_IXORI, tr|V5IGX0|V5IGX0_IXORI			
OG0000004		tr|A0A023FRT3|A0A023FRT3_AMBCJ, tr|A0A023FTW3|A0A023FTW3_AMBCJ, tr|A0A023FU50|A0A023FU50_AMBCJ, tr|A0A023FXL1|A0A023FXL1_AMBPA, tr|A0A023G5I2|A0A023G5I2_AMBTT, tr|A0A023G938|A0A023G938_AMBTT, tr|A0A023G9T5|A0A023G9T5_AMBTT, tr|A0A023GA89|A0A023GA89_AMBTT, tr|A0A023GCI2|A0A023GCI2_AMBTT, tr|A0A023GD09|A0A023GD09_AMBTT, tr|A0A023GDJ2|A0A023GDJ2_AMBTT, tr|A0A023GDM8|A0A023GDM8_AMBTT, tr|A0A034WTX6|A0A034WTX6_RHIMP, tr|A0A034WTX9|A0A034WTX9_RHIMP, tr|A0A034WU82|A0A034WU82_RHIMP, tr|A0A034WWH5|A0A034WWH5_RHIMP, tr|A0A034WWI2|A0A034WWI2_RHIMP, tr|A0A034WWJ8|A0A034WWJ8_RHIMP, tr|A0A034WWQ3|A0A034WWQ3_RHIMP, tr|A0A034WWQ7|A0A034WWQ7_RHIMP, tr|A0A034WX98|A0A034WX98_RHIMP, tr|A0A034WXA7|A0A034WXA7_RHIMP, tr|A0A034WXN5|A0A034WXN5_RHIMP, tr|A0A034WXP4|A0A034WXP4_RHIMP, tr|A0A034WYU7|A0A034WYU7_RHIMP, tr|A0A034WYV5|A0A034WYV5_RHIMP, tr|A0A034WYW0|A0A034WYW0_RHIMP, tr|A0A034WYY5|A0A034WYY5_RHIMP, tr|G3MFR5|G3MFR5_AMBMU, tr|G3MLB3|G3MLB3_AMBMU, tr|G3MP20|G3MP20_AMBMU, tr|G3MPC6|G3MPC6_AMBMU, tr|G3MQ64|G3MQ64_AMBMU, tr|G3MQN9|G3MQN9_AMBMU, tr|G3MQU6|G3MQU6_AMBMU, tr|G3MSX5|G3MSX5_AMBMU, tr|L7LRB1|L7LRB1_RHIPC, tr|L7LTH2|L7LTH2_RHIPC, tr|L7LTN9|L7LTN9_RHIPC, tr|L7LTU3|L7LTU3_RHIPC, tr|L7MM03|L7MM03_RHIPC, tr|L7MM71|L7MM71_RHIPC			
OG0000005		tr|A0A023GEL2|A0A023GEL2_AMBTT, tr|A0A090XD24|A0A090XD24_IXORI, tr|B7P0V5|B7P0V5_IXOSC, tr|B7P1R9|B7P1R9_IXOSC, tr|B7P7I2|B7P7I2_IXOSC, tr|B7P8H4|B7P8H4_IXOSC, tr|B7P8H5|B7P8H5_IXOSC, tr|B7PDM0|B7PDM0_IXOSC, tr|B7PTE4|B7PTE4_IXOSC, tr|B7PTJ2|B7PTJ2_IXOSC, tr|B7PUJ6|B7PUJ6_IXOSC, tr|B7PX14|B7PX14_IXOSC, tr|B7PYS9|B7PYS9_IXOSC, tr|B7Q3S6|B7Q3S6_IXOSC, tr|B7Q3S8|B7Q3S8_IXOSC, tr|B7Q923|B7Q923_IXOSC, tr|B7QAQ8|B7QAQ8_IXOSC, tr|B7QDM0|B7QDM0_IXOSC, tr|B7QDM1|B7QDM1_IXOSC, tr|B7QDM3|B7QDM3_IXOSC, tr|B7QG60|B7QG60_IXOSC, tr|B7QGP8|B7QGP8_IXOSC, tr|L7LXT3|L7LXT3_RHIPC, tr|L7LYZ6|L7LYZ6_RHIPC, tr|L7MAC5|L7MAC5_RHIPC, tr|L7MCK8|L7MCK8_RHIPC, tr|L7MD79|L7MD79_RHIPC, tr|L7MEN5|L7MEN5_RHIPC, tr|L7MFE3|L7MFE3_RHIPC, tr|L7MFF3|L7MFF3_RHIPC, tr|L7MFT7|L7MFT7_RHIPC, tr|L7MIV9|L7MIV9_RHIPC, tr|L7MKK7|L7MKK7_RHIPC, tr|L7MKN3|L7MKN3_RHIPC, tr|V5HMZ3|V5HMZ3_IXORI, tr|V5HSF4|V5HSF4_IXORI, tr|V5HW30|V5HW30_IXORI, tr|V5I374|V5I374_IXORI, tr|V5IFQ1|V5IFQ1_IXORI, tr|V5IFZ5|V5IFZ5_IXORI, tr|V5IIF4|V5IIF4_IXORI, tr|V5IIS5|V5IIS5_IXORI			
OG0000006		tr|A0A023FH15|A0A023FH15_AMBCJ, tr|A0A023FLC5|A0A023FLC5_AMBCJ, tr|A0A023FNI6|A0A023FNI6_AMBCJ, tr|A0A023FS49|A0A023FS49_AMBCJ, tr|A0A023G6L5|A0A023G6L5_AMBTT, tr|A0A023G7C5|A0A023G7C5_AMBTT, tr|A0A023GHV0|A0A023GHV0_AMBTT, tr|A0A023GI53|A0A023GI53_AMBTT, tr|A0A023GI61|A0A023GI61_AMBTT, tr|A0A023GI63|A0A023GI63_AMBTT, tr|A0A023GKN1|A0A023GKN1_AMBTT, tr|A0A023GKN6|A0A023GKN6_AMBTT, tr|A0A023GKU7|A0A023GKU7_AMBTT, tr|A0A023GLK9|A0A023GLK9_AMBTT, tr|A0A023GLU4|A0A023GLU4_AMBTT, tr|B7PKW8|B7PKW8_IXOSC, tr|B7PPT6|B7PPT6_IXOSC, tr|B7PPY7|B7PPY7_IXOSC, tr|B7PQF4|B7PQF4_IXOSC, tr|B7PWD5|B7PWD5_IXOSC, tr|B7Q6M5|B7Q6M5_IXOSC, tr|B7QMH2|B7QMH2_IXOSC, tr|B7QNZ0|B7QNZ0_IXOSC, tr|G3MJE4|G3MJE4_AMBMU, tr|G3MK53|G3MK53_AMBMU, tr|G3MPA1|G3MPA1_AMBMU, tr|G3MPD6|G3MPD6_AMBMU, tr|G3MPN1|G3MPN1_AMBMU, tr|G3MQ04|G3MQ04_AMBMU, tr|G3MQ94|G3MQ94_AMBMU, tr|G3MQW3|G3MQW3_AMBMU, tr|L7LSJ9|L7LSJ9_RHIPC, tr|L7M503|L7M503_RHIPC, tr|V5HEC7|V5HEC7_IXORI, tr|V5HLF5|V5HLF5_IXORI, tr|V5HMR8|V5HMR8_IXORI, tr|V5I2E1|V5I2E1_IXORI, tr|V5IEL2|V5IEL2_IXORI, tr|V5IGY2|V5IGY2_IXORI, tr|V5IIV6|V5IIV6_IXORI, tr|V5IJN6|V5IJN6_IXORI			
OG0000007		tr|A0A023FD84|A0A023FD84_AMBCJ, tr|A0A023FEG7|A0A023FEG7_AMBCJ, tr|A0A023FLV0|A0A023FLV0_AMBCJ, tr|A0A023FR63|A0A023FR63_AMBCJ, tr|A0A023FRM5|A0A023FRM5_AMBCJ, tr|A0A023FU93|A0A023FU93_AMBCJ, tr|A0A023FVP3|A0A023FVP3_AMBPA, tr|A0A023FXX4|A0A023FXX4_AMBPA, tr|A0A023G184|A0A023G184_AMBPA, tr|A0A023G4N9|A0A023G4N9_AMBTT, tr|A0A023G4Y3|A0A023G4Y3_AMBTT, tr|A0A023G565|A0A023G565_AMBTT, tr|A0A023G582|A0A023G582_AMBTT, tr|A0A023G6B0|A0A023G6B0_AMBTT, tr|A0A023G7E0|A0A023G7E0_AMBTT, tr|A0A023G7S6|A0A023G7S6_AMBTT, tr|A0A023G7X6|A0A023G7X6_AMBTT, tr|A0A023G7Y5|A0A023G7Y5_AMBTT, tr|A0A023G807|A0A023G807_AMBTT, tr|A0A023G832|A0A023G832_AMBTT, tr|A0A023GA13|A0A023GA13_AMBTT, tr|A0A023GAY9|A0A023GAY9_AMBTT, tr|A0A023GBD6|A0A023GBD6_AMBTT, tr|A0A023GDY4|A0A023GDY4_AMBTT, tr|A0A023GDZ0|A0A023GDZ0_AMBTT, tr|A0A023GED3|A0A023GED3_AMBTT, tr|A0A023GFJ0|A0A023GFJ0_AMBTT, tr|A0A023GPA6|A0A023GPA6_AMBTT, tr|A0A034WZ07|A0A034WZ07_RHIMP, tr|B7PC51|B7PC51_IXOSC, tr|B7Q597|B7Q597_IXOSC, tr|B7Q9J7|B7Q9J7_IXOSC, tr|B7QK49|B7QK49_IXOSC, tr|B7QKY0|B7QKY0_IXOSC, tr|B7QN00|B7QN00_IXOSC, tr|F0J8M9|F0J8M9_AMBVA, tr|S5MKN4|S5MKN4_9ACAR, tr|V5H3P9|V5H3P9_IXORI			
OG0000008		tr|A0A023FEC0|A0A023FEC0_AMBCJ, tr|A0A023FRU2|A0A023FRU2_AMBCJ, tr|A0A023FTV1|A0A023FTV1_AMBCJ, tr|A0A023G2J7|A0A023G2J7_AMBTT, tr|A0A023G9D3|A0A023G9D3_AMBTT, tr|A0A034WY09|A0A034WY09_RHIMP, tr|A8VM53|A8VM53_9ACAR, tr|C9W1H4|C9W1H4_RHISA, tr|C9W1K8|C9W1K8_RHISA, tr|L7LPL0|L7LPL0_RHIPC, tr|L7LQI2|L7LQI2_RHIPC, tr|L7LQI7|L7LQI7_RHIPC, tr|L7LQL0|L7LQL0_RHIPC, tr|L7LQL8|L7LQL8_RHIPC, tr|L7LQV0|L7LQV0_RHIPC, tr|L7LQX2|L7LQX2_RHIPC, tr|L7LQY7|L7LQY7_RHIPC, tr|L7LR04|L7LR04_RHIPC, tr|L7LR15|L7LR15_RHIPC, tr|L7LRT0|L7LRT0_RHIPC, tr|L7LSK6|L7LSK6_RHIPC, tr|L7LSQ3|L7LSQ3_RHIPC, tr|L7LSR9|L7LSR9_RHIPC, tr|L7LSS4|L7LSS4_RHIPC, tr|L7LSU4|L7LSU4_RHIPC, tr|L7LSX5|L7LSX5_RHIPC, tr|L7LSY5|L7LSY5_RHIPC, tr|L7LSZ9|L7LSZ9_RHIPC, tr|L7LT01|L7LT01_RHIPC, tr|L7LT70|L7LT70_RHIPC, tr|L7LTG7|L7LTG7_RHIPC, tr|L7LTN0|L7LTN0_RHIPC, tr|L7MD33|L7MD33_RHIPC, tr|L7MDT2|L7MDT2_RHIPC, tr|L7MJ77|L7MJ77_RHIPC, tr|L7MJA4|L7MJA4_RHIPC, tr|L7MK07|L7MK07_RHIPC			
OG0000009	sp|O00338|ST1C2_HUMAN, sp|O35400|ST2B1_MOUSE, sp|O35403|ST3A1_MOUSE, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|O75897|ST1C4_HUMAN, sp|P19217|ST1E1_BOVIN, sp|P22789|ST2A2_RAT, sp|P49888|ST1E1_HUMAN, sp|P49891|ST1E1_MOUSE, sp|P50225|ST1A1_HUMAN, sp|P50226|ST1A2_HUMAN, sp|P50234|SUHA_CAVPO, sp|P52842|ST2A1_MACFA, sp|P52843|ST2A1_MOUSE, sp|Q29YR5|ST2B1_RAT, sp|Q6IMI6|ST1C3_HUMAN, sp|Q95JD5|ST1B1_CANLF, sp|Q9D939|ST1C2_MOUSE, sp|Q9QWG7|ST1B1_MOUSE	tr|A0A090XE44|A0A090XE44_IXORI, tr|B7P491|B7P491_IXOSC, tr|V5GXA7|V5GXA7_IXORI		sp|O00338|ST1C2_HUMAN, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|Q3UZZ6|ST1D1_MOUSE, sp|Q9WUW9|S1C2A_RAT	sp|O35400|ST2B1_MOUSE, sp|O46503|ST1C2_RABIT, sp|O46640|ST3A1_RABIT, sp|O75897|ST1C4_HUMAN, sp|P50226|ST1A2_HUMAN, sp|Q9D939|ST1C2_MOUSE, sp|Q9QWG7|ST1B1_MOUSE, sp|Q9WUW9|S1C2A_RAT
